uid,
7.21E+17,because its greek week__ ohio northern university
7.21E+17,im super psyched to go to prom with my best friend again ohio northern university
7.21E+17,thankful for my theta sisters especially this jewel ohio northern university
7.21E+17,the best thing to hold onto in life is each other ohio northern
7.21E+17,to p wells for being the best roomie and doin her thing tonight at greek week trivia ft
7.21E+17,were read about our latest opening here district manager traineeretail sales
7.21E+17,accident center lane blocked in on i77 nb before stop and go traffic back to arlington rd delay of mins
7.21E+17,accident cleared in on i76 wb at e ave slow traffic back to central interchange delay of mins
7.21E+17,accident in on i nb at vernon odem blvd
7.21E+17,accident in on i76 wb at e ave stop and go traffic back to delay of min
7.21E+17,accident in on i76 wb at e ave stop and go traffic back to main st delay of mins
7.21E+17,accident in on i77 nb before stop and go traffic back to arlington rd delay of mins
7.21E+17,accident left lane blocked in on i76 eb at wolf ledges pkwy slow traffic back to main st
7.21E+17,accident shoulder blocked in on i76 eb at wolf ledges pkwy
7.21E+17,accident shoulder blocked in on i76 eb at wolf ledges pkwy slow traffic back to main st
7.21E+17,accident shoulder blocked in on i77 nb before stop and go traffic back to arlington rd delay of mins
7.21E+17,adult dance class older south balch street akron ohio
7.21E+17,alert community health buckeye community health plan oh
7.21E+17,alert shift supervisor us starbucks brittan road k oh
7.21E+17,all this for some medicine summa emergency
7.21E+17,baseball and beer akron rubber ducks at canal park
7.21E+17,baseball with this babe akron rubber ducks at canal park
7.21E+17,beautiful day great class today emmanuel christian academy
7.21E+17,behind every successful woman is a tribe of other successful women
7.21E+17,best way to start the morning a awesome cup of
7.21E+17,bike swap meet at lock in progress come on down sat all day slow race at
7.21E+17,black is for sisterhood and i am part of the best one kappa kappa gamma
7.21E+17,can you recommend anyone for this dialysis inpatient patient care technician full time akron acutes
7.21E+17,can you recommend anyone for this equipment associate oh
7.21E+17,can you recommend anyone for this oh
7.21E+17,can you recommend anyone for this oh
7.21E+17,can you recommend anyone for this oh
7.21E+17,can you recommend anyone for this parts delivery oh
7.21E+17,cats pride pretty kitty contest
7.21E+17,congrats to the newly weds st vincent de paul catholic church
7.21E+17,cvs health staff pharmacist floater pt oh
7.21E+17,dark chocolate coconut water bitch
7.21E+17,deaf prom university of akron student union
7.21E+17,do you reside in the ne ohio area i try to stop at onc whenever im in the youngstown area
7.21E+17,drinking an one hot blonde by at
7.21E+17,eliz_roth duck club at canal park
7.21E+17,EMO_POS EMO_POS akron ohio
7.21E+17,ethiopian pour over is so good no cream and sugar required
7.21E+17,first hole round of the year on the south course firestone country club in akron oh
7.21E+17,follow for info paradise white badboys club
7.21E+17,gabe doing a prom pose with the otter statue at the akron zoo akron zoo
